player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Bryson Barnes,131845,QB,UTAH,1,2.86,0,66,328,63.4,41,47,12.0,3.64,1,3,6.3,53.2,25,33,3.8,59,89.4,1,20,,,,,72.5,80.0,78.1,76.0,,71.0,1,2,61,12.1,70.0,6.8,4,8,0,4,2,1,1.6,306,6.5,66.7,42,49,9.9,3.42,1,3,5.9,57.1,28,31,0.0,60,90.9,0,18,,,,,72.5,78.1,78.1,72.2,,73.5,1,2,63,12.9,70.8,6.7,4,7,0,5,2,1,1.6,288,5.9,80.0,5,5,11.0,3.8,0,0,0.0,60.0,3,3,25.0,6,9.1,1,2,,,,,64.2,74.6,69.2,81.4,,56.7,0,0,6,0.0,78.8,0.0,0,1,0,0,0,0,0.0,32,6.4,0,100.0,6,7,-3.2,1.89,0,0,0.0,85.7,6,1,0.0,7,10.6,0,0,,,,,64.9,64.8,69.5,64.5,,,0,0,8,0.0,79.2,0.0,0,0,0,1,0,0,0.0,14,2.0,0.52
T.J. Finley,124093,QB,TEXAS ST,1,2.08,0,59,314,66.7,48,49,11.9,2.78,0,1,2.0,63.3,31,15,3.1,52,88.1,1,15,,,,,40.9,59.7,77.9,60.1,,55.1,0,2,54,13.3,87.6,3.8,2,1,0,1,3,6,11.1,346,7.1,70.8,24,24,7.6,2.55,0,0,0.0,66.7,16,4,5.9,24,40.7,1,8,,,,,68.9,53.1,76.4,48.2,,66.9,0,2,25,0.0,61.6,0.0,0,0,0,0,1,3,12.0,143,6.0,71.0,31,32,12.0,2.66,0,1,3.0,68.8,22,11,0.0,35,59.3,0,9,,,,,29.4,67.7,74.4,71.8,,50.5,0,0,36,18.2,109.6,5.7,2,1,0,1,2,3,8.3,226,7.1,0,100.0,7,7,-2.3,1.4,0,0,0.0,100.0,7,0,0.0,7,11.9,0,2,,,,,64.6,66.8,69.1,66.5,,,0,0,7,,80.4,0.0,0,0,0,0,0,0,0.0,23,3.3,1.1
Jordan McCloud,101058,QB,JAMES MAD,1,-11.76,0,56,197,62.5,40,43,10.4,3.28,0,2,4.4,55.8,24,23,4.0,53,94.6,1,18,,,,,25.0,50.9,77.5,52.9,,51.5,1,1,55,21.7,73.2,9.4,5,5,0,2,1,4,7.3,274,6.4,63.6,33,34,11.1,3.3,0,2,5.6,61.8,21,19,0.0,42,75.0,0,17,,,,,22.8,58.3,76.9,59.2,,55.5,1,1,44,26.3,82.1,11.9,5,3,0,0,1,3,6.8,253,7.4,70.0,10,12,4.2,2.85,0,0,0.0,50.0,6,4,14.3,14,25.0,1,2,,,,,66.2,39.8,71.2,43.2,,52.9,0,0,14,0.0,56.3,0.0,0,2,0,2,0,1,7.1,36,3.0,0,100.0,3,3,-2.0,1.5,0,0,0.0,100.0,3,0,0.0,3,5.4,0,1,,,,,62.7,64.1,66.6,63.9,,,0,0,3,,87.5,0.0,0,0,0,0,0,0,0.0,15,5.0,-4.44
Seth Henigan,144267,QB,MEMPHIS,1,3.25,0,55,218,70.7,41,43,11.0,2.64,0,3,6.4,62.8,27,11,6.9,47,85.5,2,18,,,,,41.4,76.5,76.9,81.3,,46.8,0,0,51,18.2,104.1,4.3,2,2,0,2,2,0,0.0,353,8.2,76.2,42,44,9.1,2.47,0,3,6.4,68.2,30,9,6.3,47,85.5,2,18,,,,,40.9,77.0,76.8,82.1,,46.8,0,0,50,11.1,99.0,2.1,1,2,0,2,1,0,0.0,343,7.8,71.4,7,7,7.0,2.66,0,0,0.0,71.4,5,2,0.0,8,14.5,0,1,,,,,65.1,66.3,69.8,66.0,,,0,0,9,50.0,133.3,12.5,1,0,0,0,1,0,0.0,54,7.7,0,100.0,8,8,-2.1,1.63,0,0,0.0,100.0,8,0,0.0,8,14.5,0,1,,,,,64.9,67.2,69.5,66.9,,,0,0,8,,89.6,0.0,0,0,0,0,0,0,0.0,44,5.5,-0.09
Caleb Williams,144622,QB,USC,1,-13.46,0,51,326,72.4,29,34,11.9,3.21,0,3,7.9,61.8,21,16,0.0,40,78.4,0,12,,,,,69.7,78.8,76.4,79.1,,59.4,0,1,44,25.0,93.0,10.0,4,2,2,3,1,0,0.0,342,10.1,82.8,29,32,9.5,2.95,0,3,8.3,75.0,24,15,0.0,38,74.5,0,12,,,,,69.6,84.9,76.3,85.6,,59.4,0,1,42,26.7,106.8,10.5,4,2,2,1,1,0,0.0,344,10.8,72.7,11,13,2.3,2.74,0,0,0.0,61.5,8,2,0.0,13,25.5,0,2,,,,,66.0,53.7,71.0,53.5,,,0,0,13,0.0,66.2,0.0,0,0,0,2,0,0,0.0,40,3.1,0,100.0,11,11,-3.9,1.75,0,0,0.0,100.0,11,1,0.0,11,21.6,0,2,,,,,65.6,67.8,70.4,67.5,,,0,0,11,0.0,82.6,0.0,0,0,0,0,0,0,0.0,42,3.8,-7.67
Brayden Schager,146078,QB,HAWAII,1,-1.59,0,51,180,62.5,40,42,12.6,3.26,0,2,4.7,54.8,23,19,8.0,49,96.1,2,12,,,,,42.9,54.7,27.7,61.9,,46.5,1,2,50,15.8,61.4,6.1,3,4,0,1,1,3,6.0,258,6.1,62.9,35,35,12.3,3.32,0,2,5.6,57.1,20,15,9.1,41,80.4,2,10,,,,,39.5,57.9,24.6,65.4,,47.6,0,2,42,20.0,63.2,7.3,3,3,0,0,1,3,7.1,233,6.7,71.4,7,9,9.1,2.71,0,0,0.0,55.6,5,4,0.0,10,19.6,0,2,,,,,65.4,49.0,70.1,51.5,,57.3,1,0,10,0.0,69.2,0.0,0,1,0,1,0,0,0.0,45,5.0,0,100.0,2,2,-4.0,1.85,0,0,0.0,100.0,2,0,0.0,2,3.9,0,0,,,,,61.8,62.9,65.5,62.7,,,0,0,2,,108.3,0.0,0,0,0,0,0,0,0.0,20,10.0,-1.66
Keegan Shoemaker,108983,QB,SM HOUSTON,1,8.41,0,49,281,54.5,33,36,11.3,2.89,1,1,2.6,47.2,17,15,5.6,40,81.6,1,10,,,,,71.5,60.5,76.9,57.7,,63.9,0,2,42,13.3,48.4,5.0,2,2,0,2,1,3,7.1,180,5.0,62.1,29,32,7.6,2.59,1,0,0.0,53.1,17,12,5.6,36,73.5,1,8,,,,,71.4,55.5,76.7,51.6,,63.9,0,2,38,16.7,39.7,5.6,2,2,0,2,0,3,7.9,149,4.7,69.2,13,13,8.8,3.06,0,1,7.7,61.5,8,3,11.1,13,26.5,1,6,,,,,66.0,77.1,71.0,76.5,,,0,0,13,0.0,116.8,0.0,0,0,0,0,1,0,0.0,118,9.1,0,100.0,9,9,-4.2,1.94,0,0,0.0,88.9,8,0,11.1,9,18.4,1,4,,,,,65.1,67.6,69.8,67.3,,,0,0,9,,106.9,0.0,0,0,0,0,0,0,0.0,87,9.7,4.42
Joey Aguilar,174978,QB,APP STATE,1,-17.46,0,49,108,68.3,41,44,11.6,2.55,0,2,4.4,56.8,25,12,10.7,45,91.8,3,20,,,,,70.2,72.9,77.0,72.4,,60.1,0,1,46,8.3,91.7,2.2,1,0,0,3,3,2,4.3,306,7.0,71.0,31,31,9.4,2.44,0,1,3.1,64.5,20,9,9.1,32,65.3,2,15,,,,,69.5,73.9,76.2,73.6,,60.1,0,1,33,11.1,94.3,3.1,1,0,0,0,2,1,3.0,226,7.3,69.2,13,17,14.0,2.54,0,1,5.9,47.1,8,5,11.1,17,34.7,1,5,,,,,66.7,64.8,71.8,64.5,,,1,0,17,0.0,83.0,0.0,0,0,0,3,1,1,5.9,90,5.3,0,100.0,3,4,-0.3,1.6,0,0,0.0,75.0,3,2,0.0,4,8.2,0,0,,,,,63.3,61.6,67.4,61.4,,,1,0,4,0.0,77.1,0.0,0,0,0,0,0,0,0.0,10,2.5,-2.0
E.J. Warner,156185,QB,TEMPLE,1,12.21,0,49,306,55.9,34,38,13.0,2.62,1,0,0.0,50.0,19,16,0.0,41,83.7,0,12,,,,,69.2,56.3,76.8,54.1,,64.2,1,1,43,12.5,82.8,4.9,2,1,0,2,2,3,7.0,296,7.8,56.3,32,35,10.0,2.41,1,0,0.0,51.4,18,10,0.0,37,75.5,0,13,,,,,68.9,60.0,76.5,57.6,,64.2,1,1,39,10.0,85.8,2.7,1,1,0,1,2,3,7.7,283,8.1,70.0,10,11,9.8,2.56,0,0,0.0,63.6,7,6,0.0,12,24.5,0,1,,,,,65.8,54.9,71.2,54.7,,,0,0,12,16.7,69.5,8.3,1,0,0,1,0,0,0.0,38,3.5,0,75.0,8,8,-3.0,1.53,0,0,0.0,75.0,6,0,0.0,8,16.3,0,2,,,,,64.9,67.2,69.5,66.9,,,0,0,8,,77.6,0.0,0,0,0,0,0,0,0.0,25,3.1,-4.64
Frank Harris,60586,QB,UTSA,1,19.69,0,48,331,65.0,40,41,13.1,2.81,0,3,7.1,63.4,26,13,0.0,43,89.6,0,18,,,,,72.3,84.7,28.0,75.1,,85.5,0,0,44,7.7,118.3,2.3,1,1,0,1,3,1,2.3,384,9.4,61.5,26,27,14.6,2.9,0,2,7.1,59.3,16,9,0.0,28,58.3,0,12,,,,,71.9,78.5,21.9,65.0,,85.5,0,0,29,0.0,112.4,0.0,0,1,0,1,2,1,3.4,235,8.7,78.9,19,19,7.4,2.29,0,1,5.3,78.9,15,4,0.0,20,41.7,0,7,,,,,67.1,83.7,72.4,82.9,,,0,0,20,25.0,122.8,5.0,1,0,0,0,1,0,0.0,176,9.3,0,100.0,5,5,-1.0,1.2,0,0,0.0,100.0,5,0,0.0,5,10.4,0,1,,,,,63.8,65.1,68.1,64.8,,,0,0,5,,89.2,0.0,0,0,0,0,0,0,0.0,27,5.4,0.56
John Paddock,77689,QB,ILLINOIS,1,21.97,0,48,187,50.0,40,44,10.5,2.27,4,0,0.0,43.2,19,17,5.0,45,93.8,1,12,,,,,38.3,48.7,77.0,48.1,,59.3,0,0,48,5.9,57.3,2.2,1,0,0,0,0,3,6.3,203,4.6,46.9,32,36,9.4,2.18,4,0,0.0,41.7,15,15,0.0,37,77.1,0,11,,,,,33.2,42.1,76.5,41.2,,59.3,0,0,39,6.7,53.5,2.7,1,0,0,0,0,3,7.7,144,4.0,72.7,11,11,10.2,2.31,0,0,0.0,63.6,7,2,12.5,11,22.9,1,3,,,,,65.8,71.6,70.7,71.2,,,0,0,12,0.0,82.0,0.0,0,0,0,0,0,0,0.0,71,6.5,0,100.0,3,3,-1.7,1.2,0,0,0.0,100.0,3,0,0.0,3,6.3,0,2,,,,,62.7,64.1,66.6,63.9,,,0,0,3,,83.3,0.0,0,0,0,0,0,0,0.0,12,4.0,2.45
Chandler Fields,97286,QB,LA LAFAYET,1,-20.98,0,46,207,75.9,29,30,11.1,2.6,0,1,3.1,66.7,20,10,9.1,37,80.4,2,14,,,,,69.8,70.9,76.2,69.4,,63.6,0,1,39,50.0,110.0,13.5,5,2,0,1,3,0,0.0,237,7.9,83.9,31,32,7.4,2.27,0,1,2.9,78.1,25,7,3.8,39,84.8,1,14,,,,,70.0,73.7,76.3,72.4,,63.6,0,1,41,71.4,94.5,12.8,5,2,0,1,1,0,0.0,234,7.3,71.4,7,7,7.9,3.04,0,0,0.0,57.1,4,3,20.0,7,15.2,1,3,,,,,64.9,60.1,69.5,59.9,,,0,0,8,0.0,117.9,0.0,0,0,0,0,2,0,0.0,48,6.9,0,100.0,9,9,-4.1,1.5,0,0,0.0,100.0,9,0,0.0,9,19.6,0,3,,,,,65.4,67.9,70.1,67.6,,,0,0,10,,87.5,0.0,0,0,0,0,0,0,0.0,45,5.0,-0.45
Alex Flinn,123797,QB,E CAROLINA,1,-16.67,0,46,156,71.0,31,34,9.2,3.33,0,0,0.0,58.8,20,12,9.1,42,91.3,2,6,,,,,37.9,53.6,76.1,55.2,,55.0,2,2,43,25.0,45.1,7.1,3,5,0,1,0,4,9.3,151,4.4,74.1,27,30,6.3,3.31,0,0,0.0,66.7,20,12,0.0,37,80.4,0,5,,,,,34.6,52.5,75.7,55.2,,53.0,2,0,37,25.0,75.8,8.1,3,4,0,1,0,2,5.4,131,4.4,75.0,8,8,12.0,2.63,0,0,0.0,50.0,4,0,33.3,9,19.6,2,2,,,,,65.4,62.9,70.1,61.0,,62.1,0,2,10,,16.7,0.0,0,1,0,0,0,2,20.0,24,3.0,0,100.0,4,4,-4.3,1.63,0,0,0.0,100.0,4,0,0.0,4,8.7,0,1,,,,,63.3,65.0,67.4,64.8,,,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,4,1.0,-1.37
Grayson Loftis,170054,QB,DUKE,1,-0.53,0,45,154,67.6,37,41,8.4,2.8,2,1,2.2,58.5,24,10,4.0,43,95.6,1,16,,,,,69.5,64.8,77.2,65.0,,57.3,0,1,47,10.0,83.4,2.3,1,1,0,2,2,1,2.1,260,6.3,68.6,35,38,6.7,2.71,2,1,2.4,60.5,23,10,4.2,40,88.9,1,14,,,,,69.2,69.0,76.9,69.4,,57.3,0,0,43,10.0,93.2,2.5,1,1,0,1,2,0,0.0,211,5.6,75.0,4,5,16.8,3.32,0,0,0.0,60.0,3,1,0.0,5,11.1,0,3,,,,,64.2,48.0,68.6,48.1,,,0,1,6,0.0,61.7,0.0,0,0,0,1,0,1,16.7,59,11.8,0,100.0,2,2,-3.0,2.25,0,0,0.0,100.0,2,1,0.0,2,4.4,0,1,,,,,61.8,62.9,65.5,62.7,,,0,0,2,0.0,87.5,0.0,0,0,0,0,0,0,0.0,10,5.0,6.25
Drake Maye,143969,QB,N CAROLINA,1,-13.33,0,45,245,54.8,31,35,15.4,2.79,2,3,8.1,42.9,15,16,11.8,44,97.8,2,11,,,,,70.3,63.1,77.3,53.2,60.0,79.8,1,1,47,25.0,58.0,9.1,4,5,0,1,1,2,4.3,190,5.4,53.6,28,30,14.8,2.74,2,2,6.3,46.7,14,14,6.7,39,86.7,1,11,,,,,70.0,60.9,77.0,50.0,60.0,79.8,0,1,42,28.6,64.0,10.3,4,5,0,0,1,2,4.8,186,6.2,75.0,4,6,15.5,3.22,0,1,16.7,33.3,2,3,33.3,6,13.3,1,1,,,,,64.2,71.0,68.6,70.6,,,1,0,6,0.0,45.8,0.0,0,0,0,1,0,0,0.0,23,3.8,0,100.0,1,1,-1.0,3.2,0,0,0.0,100.0,1,1,0.0,1,2.2,0,1,,,,,60.3,60.6,63.6,60.4,,,0,0,1,0.0,118.8,0.0,0,0,0,0,0,0,0.0,19,19.0,-2.37
Cade McConnell,73935,QB,UTEP,1,-23.85,0,45,330,58.6,29,33,14.0,2.88,0,3,8.6,51.5,17,14,0.0,37,82.2,0,10,,,,,33.2,63.4,76.9,70.9,,36.7,0,1,39,21.4,72.8,8.1,3,1,0,4,1,3,7.7,240,7.3,73.1,26,29,10.1,2.66,0,2,6.5,65.5,19,9,0.0,33,73.3,0,12,,,,,30.4,65.8,76.7,74.4,,36.7,0,1,35,33.3,105.2,9.1,3,1,0,3,2,2,5.7,278,9.6,45.5,11,12,10.2,2.87,0,1,8.3,41.7,5,5,0.0,12,26.7,0,2,,,,,65.8,57.0,70.7,56.9,,,0,0,12,0.0,66.7,0.0,0,0,0,1,0,1,8.3,86,7.2,0,87.5,8,8,-4.0,1.95,0,0,0.0,87.5,7,0,0.0,8,17.8,0,4,,,,,64.9,61.9,69.5,61.6,,,0,0,8,,158.3,0.0,0,0,0,0,1,0,0.0,124,15.5,-2.42
Byrum Brown,156206,QB,USF,1,8.16,0,43,327,62.1,29,32,13.9,3.16,1,3,8.8,53.1,17,12,5.6,36,83.7,1,10,,,,,72.5,73.1,77.2,73.9,,61.4,0,2,39,16.7,64.5,5.6,2,2,0,2,1,1,2.6,259,8.1,60.0,20,20,10.4,2.8,0,3,14.3,55.0,11,9,8.3,22,51.2,1,5,,,,,72.2,71.1,76.2,67.8,,65.9,0,2,23,11.1,58.5,4.5,1,1,0,0,1,1,4.3,161,8.1,80.0,15,19,11.9,3.1,1,0,0.0,63.2,12,4,0.0,21,48.8,0,5,,,,,67.5,70.6,72.8,75.3,,51.8,0,0,23,25.0,82.3,4.8,1,1,0,3,0,0,0.0,126,6.6,0,100.0,6,7,-3.0,1.89,0,0,0.0,85.7,6,1,0.0,7,16.3,0,0,,,,,64.6,64.1,69.1,63.8,,,0,0,7,0.0,83.3,0.0,0,0,0,1,0,0,0.0,28,4.0,-1.42
Alan Bowman,77679,QB,OKLA STATE,1,-20.13,0,43,262,75.8,33,37,10.4,2.52,0,4,10.3,64.9,24,6,4.0,37,86.0,1,20,,,,,45.7,82.5,77.2,83.5,,56.5,0,1,39,0.0,100.7,0.0,0,0,0,4,2,2,5.1,336,9.1,85.7,21,22,10.0,2.36,0,2,8.3,77.3,17,3,5.6,22,51.2,1,13,,,,,36.8,76.9,76.3,78.6,,56.5,0,1,24,0.0,102.3,0.0,0,0,0,1,1,2,8.3,209,9.5,70.6,17,21,7.1,2.52,0,2,9.5,57.1,12,4,0.0,21,48.8,0,8,,,,,67.2,79.3,72.5,78.6,,,0,0,21,0.0,93.2,0.0,0,0,0,4,1,0,0.0,139,6.6,0,100.0,5,6,-2.4,1.93,0,0,0.0,83.3,5,1,0.0,6,14.0,0,1,,,,,64.2,63.4,68.6,63.2,,,0,0,6,0.0,79.2,0.0,0,0,0,1,0,0,0.0,12,2.0,-2.88
Austin Reed,111760,QB,W KENTUCKY,1,3.78,0,42,346,62.1,29,29,13.4,2.85,0,4,13.3,58.6,17,7,5.6,30,71.4,1,11,,,,,32.0,53.2,76.3,57.1,,48.0,0,4,31,14.3,95.5,3.3,1,0,0,0,3,4,12.9,346,11.9,70.6,34,34,9.9,2.47,0,4,11.4,67.6,23,6,4.2,35,83.3,1,11,,,,,35.2,54.6,76.7,58.4,,48.0,0,4,36,16.7,90.2,2.9,1,0,0,0,3,4,11.1,342,10.1,83.3,6,7,6.0,2.33,0,0,0.0,71.4,5,1,0.0,7,16.7,0,2,,,,,64.6,63.9,69.1,63.7,,,0,0,7,0.0,91.4,0.0,0,0,0,1,0,0,0.0,50,7.1,0,100.0,11,12,-1.5,1.43,0,0,0.0,91.7,11,0,0.0,12,28.6,0,2,,,,,65.8,66.7,70.7,66.4,,,0,0,12,,82.6,0.0,0,0,0,1,0,0,0.0,46,3.8,-2.92
Katin Houser,158386,QB,MICH STATE,1,-40.0,0,42,223,67.7,31,32,10.8,2.92,0,2,5.6,62.5,20,8,4.8,35,83.3,1,14,,,,,37.8,59.6,76.9,57.3,,62.9,0,2,39,12.5,93.2,2.9,1,2,0,1,3,3,7.7,260,8.1,76.7,30,30,6.0,2.59,0,2,6.3,73.3,22,5,4.3,33,78.6,1,13,,,,,35.6,53.7,76.7,50.2,,62.9,0,2,35,20.0,101.1,3.0,1,2,0,0,3,3,8.6,233,7.8,50.0,8,9,16.5,2.99,0,0,0.0,33.3,3,3,25.0,9,21.4,1,2,,,,,65.6,73.1,70.4,72.5,,,0,0,11,0.0,52.5,0.0,0,0,0,1,0,0,0.0,49,5.4,0,85.7,7,7,-3.4,1.46,0,0,0.0,71.4,5,0,16.7,7,16.7,1,1,,,,,64.6,61.0,69.1,60.8,,,0,0,7,,74.7,0.0,0,0,0,0,0,0,0.0,22,3.1,-2.33
Nicholas Vattiato,145302,QB,MIDDLE TN,1,7.14,0,42,224,50.0,24,27,12.8,2.97,1,2,7.4,37.0,10,8,16.7,34,81.0,2,8,,,,,38.8,45.8,76.4,46.1,,54.1,0,1,34,25.0,85.9,5.9,2,5,0,2,3,2,5.9,203,7.5,59.3,27,28,9.4,2.58,0,1,3.6,50.0,14,6,12.5,33,78.6,2,9,,,,,38.3,46.4,76.3,45.7,,55.4,0,1,33,16.7,76.9,3.0,1,4,0,1,2,2,6.1,163,5.8,80.0,5,7,8.0,3.2,1,1,14.3,57.1,4,3,0.0,9,21.4,0,1,,,,,65.1,62.8,69.8,66.7,,57.3,0,0,9,33.3,136.3,11.1,1,1,0,1,1,0,0.0,79,11.3,0,100.0,8,8,-1.6,1.59,0,0,0.0,100.0,8,1,0.0,8,19.0,0,2,,,,,64.9,67.1,69.5,66.8,,,0,0,8,0.0,87.0,0.0,0,0,0,0,0,0,0.0,39,4.9,5.47
Brendan Sorsby,156398,QB,INDIANA,1,26.64,0,41,190,60.0,30,32,9.8,2.87,0,1,3.1,53.1,17,13,5.6,38,92.7,1,9,,,,,71.7,70.3,77.3,61.2,,74.8,1,0,38,23.1,70.6,7.9,3,3,0,1,0,0,0.0,186,5.8,52.9,17,19,8.3,2.71,0,0,0.0,42.1,8,6,11.1,21,51.2,1,3,,,,,71.2,63.8,76.3,48.9,,75.9,1,0,21,16.7,51.2,4.8,1,1,0,1,0,0,0.0,64,3.4,73.3,15,16,10.3,2.96,1,1,6.3,68.8,11,7,0.0,20,48.8,0,8,,,,,67.1,74.3,72.4,73.8,,61.7,0,0,20,28.6,133.6,10.0,2,2,0,0,2,0,0.0,133,8.3,0,100.0,2,3,0.0,2.4,1,0,0.0,66.7,2,0,0.0,3,7.3,0,2,,,,,62.7,60.3,66.6,60.2,,,0,0,3,,112.5,0.0,0,0,0,0,2,0,0.0,11,3.7,4.94
Keyone Jenkins,170403,QB,FIU,1,-5.45,0,41,166,71.4,28,31,9.6,2.62,0,2,6.5,54.8,17,15,15.0,36,87.8,3,9,,,,,70.2,59.0,10.1,59.3,,59.3,1,2,37,20.0,77.2,8.3,3,2,0,2,2,1,2.7,259,8.4,78.3,23,25,7.7,2.53,0,2,7.7,60.0,15,12,16.7,29,70.7,3,6,,,,,69.8,64.0,5.3,66.1,,57.4,0,1,30,25.0,85.6,10.3,3,1,0,2,1,0,0.0,221,8.8,70.0,10,11,7.6,2.58,0,0,0.0,54.5,6,3,14.3,12,29.3,1,3,,,,,66.0,53.3,71.4,50.6,,62.1,1,1,13,0.0,56.6,0.0,0,1,0,0,1,1,7.7,44,4.0,0,100.0,5,5,-3.0,1.98,0,0,0.0,80.0,4,0,20.0,5,12.2,1,0,,,,,64.2,66.4,68.6,66.1,,,0,0,6,,79.2,0.0,0,0,0,0,0,0,0.0,6,1.2,-4.84
Tyler Van Dyke,122225,QB,MIAMI FL,1,-14.52,0,41,220,69.0,29,34,13.1,2.96,1,2,5.7,55.9,19,16,5.0,36,87.8,1,13,,,,,68.9,76.1,76.5,73.7,,64.3,0,0,38,6.3,96.7,2.8,1,1,0,4,1,0,0.0,312,9.2,75.0,28,31,10.9,2.82,0,2,6.3,64.5,20,14,4.8,33,80.5,1,12,,,,,68.6,79.4,76.3,77.0,,64.3,0,0,35,7.1,104.8,3.0,1,1,0,3,1,0,0.0,284,9.2,66.7,6,8,9.8,2.45,1,0,0.0,50.0,4,2,0.0,8,19.5,0,2,,,,,64.9,57.6,69.5,57.4,,,0,0,8,0.0,66.1,0.0,0,0,0,1,0,0,0.0,43,5.4,0,100.0,5,5,-3.0,1.28,0,0,0.0,100.0,5,0,0.0,5,12.2,0,1,,,,,63.8,65.7,68.1,65.4,,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,15,3.0,-3.78
Davis Brin,77642,QB,GA SOUTHRN,1,1.81,0,40,174,65.6,32,32,11.8,2.72,0,1,2.7,53.1,17,8,19.0,37,92.5,4,13,,,,,70.1,70.7,77.0,68.7,,64.8,0,0,43,25.0,86.1,5.4,2,3,0,0,1,1,2.3,225,7.0,69.6,23,23,8.3,2.55,0,0,0.0,56.5,13,7,18.8,26,65.0,3,7,,,,,69.1,59.0,76.1,55.6,,65.0,0,0,28,28.6,73.6,7.7,2,1,0,0,0,1,3.6,135,5.9,66.7,12,12,14.9,2.78,0,1,6.7,58.3,7,1,12.5,14,35.0,1,6,,,,,66.8,82.9,72.0,83.2,,61.0,0,0,18,0.0,113.2,0.0,0,2,0,0,1,0,0.0,100,8.3,0,100.0,3,3,-2.3,1.5,0,0,0.0,100.0,3,0,0.0,3,7.5,0,0,,,,,62.7,64.1,66.6,63.9,,,0,0,3,,80.6,0.0,0,0,0,0,0,0,0.0,10,3.3,2.46
