player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Omarion Hampton,162750,HB,N CAROLINA,1,30,12,2,24.0,31,0,129,0,4,12,92,140.2,4,7,245,0,22,79.4,66.9,78.1,,56.0,62.4,67.3,55.2,16,0,17,5,18,34,0,0,5,35,0,129,92,3.07,4.3,0.94,7
Ismail Mahdi,161419,HB,TEXAS ST,1,28,5,4,50.3,79,0,157,0,0,5,42,25.9,6,9,314,0,14,78.8,66.0,77.6,,79.1,52.8,67.1,,25,0,0,1,31,28,0,0,1,29,1,157,42,1.5,5.6,0.0,13
Tahj Brooks,123133,HB,TEXAS TECH,1,27,6,3,35.9,55,0,153,0,3,6,100,111.1,5,8,315,0,11,78.4,74.1,76.6,,84.5,55.9,76.2,60.0,21,0,14,3,32,28,0,0,3,30,1,153,100,3.7,5.7,0.44,16
Marquez Cooper,130489,HB,S DIEGO ST,1,27,10,3,50.7,113,0,223,0,0,10,127,156.8,7,10,284,0,5,78.7,84.4,76.8,,80.6,63.0,84.4,59.7,47,0,10,3,20,31,0,0,3,30,2,223,127,4.7,8.3,0.5,22
Ollie Gordon II,157792,HB,OKLA STATE,1,27,13,0,0.0,0,0,104,0,3,13,77,147.2,4,8,262,0,21,78.4,79.9,77.9,,83.2,91.0,73.4,58.8,12,0,42,4,20,29,0,0,4,31,2,104,77,2.85,3.9,2.1,6
Justin Marshall,173460,HB,COLO STATE,1,25,2,0,0.0,0,0,106,0,0,2,60,18.5,2,3,144,0,3,78.0,70.0,76.4,,73.9,57.6,69.4,,13,0,1,1,10,25,0,0,1,26,0,106,60,2.4,4.2,0.1,21
Anthony Hankerson,157691,HB,OREGON ST,1,24,3,3,38.1,59,0,155,0,0,3,70,36.5,4,10,265,0,12,78.0,84.5,75.2,,77.9,57.9,79.3,60.0,23,0,0,0,3,26,0,0,0,24,2,155,70,2.92,6.5,0.0,12
Diego Pavia,156927,QB,VANDERBILT,1,24,7,1,22.0,27,0,95,0,0,5,66,82.5,5,9,333,3,15,25.3,90.4,76.7,93.4,,,66.2,60.1,27,0,0,0,0,41,28,4,0,20,1,123,80,3.33,5.1,,2
Raheim Sanders,146626,HB,S CAROLINA,1,24,14,1,23.9,21,0,88,0,0,14,84,196.0,3,7,289,0,3,77.8,68.8,77.0,,63.4,61.8,69.1,58.4,21,0,10,1,19,39,0,0,1,25,1,88,84,3.5,3.7,0.53,21
LaNorris Sellers,174326,QB,S CAROLINA,1,21,2,1,28.4,23,0,62,0,0,1,40,13.8,2,6,289,1,6,44.8,67.9,77.4,69.6,,,60.8,60.0,23,1,0,0,0,49,19,4,0,17,1,81,53,2.52,3.9,,6
Le'Veon Moss,158664,HB,TEXAS A&M,1,20,5,0,0.0,0,0,70,0,1,5,58,79.1,1,6,312,0,7,76.7,64.6,76.3,,76.9,59.8,64.6,59.4,12,0,13,2,19,23,0,0,4,22,1,70,58,2.9,3.5,0.68,13
Marcus Major,99488,HB,MINNESOTA,1,20,4,1,26.0,19,0,73,0,1,4,58,69.0,1,4,225,0,10,77.0,71.7,75.7,,39.9,70.9,70.2,60.0,19,0,11,1,11,24,0,0,2,21,1,73,58,2.9,3.7,1.0,10
Jamious Griffin,97189,HB,OREGON ST,1,20,7,3,38.3,59,0,154,0,0,7,84,133.6,6,9,265,2,8,21.1,79.0,76.9,,72.7,64.3,77.0,,22,0,11,2,10,21,0,0,2,22,2,154,84,4.2,7.7,1.1,12
Ashton Jeanty,157196,HB,BOISE ST,1,20,13,5,82.4,220,0,267,1,0,13,163,460.7,5,9,120,0,9,77.0,89.2,77.6,,35.0,44.0,92.7,,77,0,4,3,17,21,0,0,4,23,6,267,163,8.15,13.4,0.24,11
Jordan Waters,97754,HB,NC STATE,1,20,3,2,56.9,70,0,123,0,0,3,91,65.0,5,6,248,1,8,32.8,68.3,76.1,,69.1,65.8,68.1,55.8,50,0,10,1,13,22,0,0,2,21,2,123,91,4.55,6.2,0.77,12
