player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Micah Ford,188865,HB,STANFORD,1,26,14,2,29.2,33,0,113,1,2,14,106,233.0,3,9,300,0,14,78.2,74.9,75.6,,70.0,39.1,76.8,,17,0,2,2,9,26,0,0,4,28,1,113,106,4.08,4.3,0.22,12
Carson Hansen,174669,HB,IOWA STATE,1,16,4,2,42.3,30,0,71,0,2,4,49,102.1,3,4,193,0,7,75.5,69.6,77.3,,73.5,66.6,69.2,58.5,15,0,19,2,21,23,0,0,2,18,0,71,49,3.06,4.4,0.9,9
Anthony Colandrea,170131,QB,UNLV,1,13,4,1,13.7,16,0,44,0,0,1,38,46.9,6,4,325,0,4,72.3,86.9,76.3,74.9,,,80.6,60.0,37,0,0,0,0,28,73,4,0,9,0,117,116,8.92,9.0,,1
Abu Sama III,174686,HB,IOWA STATE,1,13,4,0,0.0,0,0,49,0,0,4,36,85.2,1,2,193,0,4,74.4,62.5,75.1,,77.5,56.3,62.1,59.9,14,0,0,0,7,17,0,0,0,13,0,49,36,2.77,3.8,0.0,9
Rocco Becht,157567,QB,IOWA STATE,1,13,4,0,0.0,0,0,13,0,0,2,12,29.6,0,4,193,3,2,26.2,76.0,77.3,74.3,,,65.8,60.1,9,0,0,0,0,38,29,4,0,9,1,42,44,3.38,3.2,,3
Hunter Watson,183993,QB,SM HOUSTON,1,12,3,1,53.4,55,0,64,0,0,3,16,192.0,1,2,281,0,2,71.2,62.0,22.9,66.1,,,57.1,60.0,55,1,0,0,0,22,39,7,0,5,1,103,21,1.75,8.6,,1
Joe Jackson,173106,HB,KANSAS ST,1,12,2,0,0.0,0,0,45,0,0,2,21,26.9,2,2,199,1,8,26.2,54.2,77.5,,39.8,63.5,51.9,56.2,11,0,7,1,26,24,0,0,1,13,0,45,21,1.75,3.8,0.27,4
Marvis Parrish,199564,HB,W KENTUCKY,1,12,2,1,32.1,18,0,56,1,3,2,35,81.0,1,1,346,0,8,74.3,66.8,75.1,,15.3,68.1,74.1,39.5,18,0,58,6,25,13,0,0,7,18,0,56,35,2.92,4.7,2.32,4
Daniel Hishaw Jr.,122562,HB,KANSAS,1,12,4,1,33.9,21,0,62,0,0,4,26,66.7,1,2,198,0,5,75.5,66.6,76.1,,25.4,57.7,69.1,57.1,21,0,5,1,13,24,0,0,1,13,0,62,26,2.17,5.2,0.38,7
Alton McCaskill,144253,HB,SM HOUSTON,1,11,2,2,93.1,67,0,72,0,0,2,26,39.4,2,3,281,0,8,73.6,68.4,74.7,,58.9,60.4,68.9,58.4,52,0,3,1,9,14,0,0,1,12,1,72,26,2.36,6.5,0.33,2
Bryson Donelson,191080,HB,FRESNO ST,1,11,2,0,0.0,0,0,34,0,1,2,33,75.0,1,1,169,0,7,73.6,61.4,73.5,,44.4,67.3,60.0,60.0,12,0,39,1,9,12,0,0,1,12,0,34,33,3.0,3.1,4.33,4
Jai'Den Thomas,174080,HB,UNLV,1,10,5,2,74.1,109,0,147,0,1,5,128,640.0,3,5,325,0,8,73.6,86.9,76.9,,57.3,67.0,89.7,58.9,70,0,16,2,13,17,0,0,2,12,3,147,128,12.8,14.7,1.23,2
Sedrick Irvin,176618,HB,STANFORD,1,10,0,1,32.6,15,0,46,0,0,0,23,0.0,1,4,300,0,7,73.1,58.9,74.0,,23.6,53.9,62.6,,15,0,0,0,10,10,0,0,1,10,0,46,23,2.3,4.6,0.0,3
George Hart III,146269,HB,W KENTUCKY,1,8,1,0,0.0,0,0,25,0,0,1,22,30.6,1,1,346,0,8,72.0,64.4,73.3,,75.3,56.9,65.8,59.4,12,0,4,1,15,10,0,0,1,9,0,25,22,2.75,3.1,0.27,0
Avery Johnson,173108,QB,KANSAS ST,1,7,1,0,0.0,0,0,33,0,0,1,16,32.7,1,1,199,2,5,71.9,85.6,76.6,83.8,,,68.6,60.1,10,1,0,0,0,27,0,0,0,7,1,33,16,2.29,4.7,,2
Jalon Daniels,122555,QB,KANSAS,1,7,1,1,42.6,23,0,43,0,0,0,14,0.0,2,2,198,0,3,70.9,88.7,76.3,83.2,,,74.4,60.0,23,0,0,0,0,33,11,1,0,6,0,54,36,5.14,7.7,,3
Leshon Williams,129487,HB,KANSAS,1,7,3,2,62.5,40,0,64,0,0,3,29,155.4,2,3,198,0,3,71.4,76.6,73.1,,,65.4,75.6,59.3,21,0,16,1,4,10,0,0,1,8,1,64,29,4.14,9.1,4.0,4
Landon Sims,146065,HB,HAWAII,1,7,2,0,0.0,0,0,12,0,1,2,19,74.0,0,0,180,0,1,71.8,67.9,74.8,,83.0,76.4,62.7,,5,0,32,4,16,7,0,0,4,11,0,12,19,2.71,1.7,2.0,4
Jaylon Glover,158484,HB,UNLV,1,7,3,0,0.0,0,0,28,0,0,3,22,117.9,0,2,325,0,3,72.0,65.8,72.7,,38.1,67.9,64.8,60.0,9,0,19,1,7,11,0,0,1,8,0,28,22,3.14,4.0,2.71,4
Rayshon Luke,158732,HB,FRESNO ST,1,7,0,0,0.0,0,0,11,0,0,0,17,0.0,0,1,169,0,2,71.8,60.0,72.9,,,65.5,58.2,58.6,9,0,4,2,11,10,0,0,2,9,0,11,17,2.43,1.6,0.36,5
